created_by,created_date,date_on_document,client_name,application_type,application_fee,email,phone,add_taxes,amount_1,date_1,amount_2,date_2,amount_3,date_3,amount_4,date_4,amount_5,date_5,amount_6,date_6,amount_7,date_7,amount_8,date_8,amount_9,date_9,amount_10,date_10,amount_11,date_11,amount_12,date_12,file_format,is_active
FARABI-AMCAIM,2024-Feb-20 01:51 PM,1/3/2024,David Galvez,PGWP,1000,davidgalvez@email.com,4319915676,True,1000.0,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-20 01:58 PM,1/3/2024,James Walters,PR,3000,jameswalters@email.com,2042972113,True,600.0,1/4/2024,600.0,1/5/2024,600.0,1/6/2024,600.0,1/7/2024,600.0,1/8/2024,,,,,,,,,,,,,,,DOCX,False
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Alvin Mosley,EOI,2000,alvinmosley@email.com,4314090964,True,222.22,1/4/2024,222.22,1/5/2024,222.22,1/6/2024,222.22,1/7/2024,222.22,1/8/2024,222.22,1/9/2024,222.22,1/10/2024,222.22,1/11/2024,222.22,1/12/2025,,,,,,,DOCX,False
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Vera Smith,PGWP,2000,verasmith@email.com,2042523539,True,333.33,1/4/2024,333.33,1/5/2024,333.33,1/6/2024,333.33,1/7/2024,333.33,1/8/2024,333.33,1/9/2024,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Amy Harris,EOI,3000,amyharris@email.com,4319531051,True,750.0,1/4/2024,750.0,1/5/2024,750.0,1/6/2024,750.0,1/7/2024,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Melissa Mccoy,Citizenship,3000,melissamccoy@email.com,2047521461,True,250.0,1/4/2024,250.0,1/5/2024,250.0,1/6/2024,250.0,1/7/2024,250.0,1/8/2024,250.0,1/9/2024,250.0,1/10/2024,250.0,1/11/2024,250.0,1/12/2025,250.0,1/1/2025,250.0,1/2/2025,250.0,1/3/2025,DOCX,True
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Robert Bullock,MPNP,4000,robertbullock@email.com,4317563817,True,444.44,1/4/2024,444.44,1/5/2024,444.44,1/6/2024,444.44,1/7/2024,444.44,1/8/2024,444.44,1/9/2024,444.44,1/10/2024,444.44,1/11/2024,444.44,1/12/2025,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Corey Olson,PGWP,3000,coreyolson@email.com,4312412256,True,300.0,1/4/2024,300.0,1/5/2024,300.0,1/6/2024,300.0,1/7/2024,300.0,1/8/2024,300.0,1/9/2024,300.0,1/10/2024,300.0,1/11/2024,300.0,1/12/2025,300.0,1/1/2025,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-20 05:31 PM,1/3/2024,Paul Redding,Citizenship,2000,paulredding@email.com,4313719676,True,222.22,1/4/2024,222.22,1/5/2024,222.22,1/6/2024,222.22,1/7/2024,222.22,1/8/2024,222.22,1/9/2024,222.22,1/10/2024,222.22,1/11/2024,222.22,1/12/2025,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 11:42 AM,1/3/2024,Bradley Gomez,PGWP,4000,bradleygomez@email.com,2045020916,True,4000.0,1/4/2024,,,,,,,,,,,,,,,,,,,,,,,DOCX,True
FARABI-AMCAIM,2024-Feb-22 11:42 AM,1/3/2024,Brooke Irving,Citizenship,3000,brookeirving@email.com,2049072083,True,1000.0,1/4/2024,1000.0,1/5/2024,1000.0,1/6/2024,,,,,,,,,,,,,,,,,,,DOCX,True
